locality,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
Treća sreća,5,"1,5",1,,30,46
Čabranica,5,"3,1",1,,18,"8,5"
Špiljica Gospinog ukazanja na Debeljaku,"1,5","1,5",1,"9,5","9,5","2,5"
Pećina pod Pelen,3,"1,5",1,"18,5","17,6","4,5"
Čelinja,5,3,1,36,34,6
Likića jama,1,1,1,20,5,16
Jama na Kačkoj glavici 3,,,1,,,
Jama pod zid,4,5,1,55,36,27
Jama na vrh Vrguda,5,3,1,83,43,24
Sestra od jame,1,8,1,"14,8","4,1","12,3"
Jama kraj Njivarskog bunara,,,1,8,8,11
Vrlovka,"2,4",4,1,"479,5","473,3","6,2"
Vilinska jama na Šabinu,"0,5","0,5",1,25,22,8
Libinje 1,1,2,1,70,10,55
Pisana stina,"1,3","0,8",1,153,"116,5","55,3"
Skusača jama,5,6,1,47,21,30
Špilja za Gromačkom vlakom,2,3,1,2439,2204,220
Bila vlaka pećina,8,5,1,29,25,15
Jama 8 Nijemaca kod Cvijanovića,"0,7","0,5",1,22,18,18
Kranjica pećina,3,"1,8",1,,30,0
Bezdan,1,3,1,,"27,5","24,4"
Bužasta škulja,3,2,1,9,8,2
Jama u šumi uvale Bjejajka,3,"2,2",1,,42,21
Jama Bliznice 2 kod Semića,"1,5","2,5",1,,8,27
Stipina jama,"1,5","0,6",1,16,5,14
Jama kod lovočuvareve kuće,3,3,1,28,8,26
Jama na stijeni,"1,5",5,1,,20,"19,5"
Natkuća jama,3,3,1,13,7,11
Pećina kod sela Puhari ,"7,5","1,8",1,,44,9
Polupećina Kikiriki,7,"4,5",1,,5,"1,3"
Bella Vergine,2,1,1,,50,"26,6"
Žarina jama,,,1,,,
Jama Brestovac,"0,5","0,3",1,33,2,33
Deseterac,4,10,1,,"20,3","30,8"
Hajdučka pećina,9,1,1,,56,4
Dujina jama,,,1,,,
Tonijeva prva,1,1,1,13,4,7
Ruševina,,,1,,,
Bezdanka kod Ivančevića ograde,7,"3,5",1,45,13,35
Kriminalna,"2,1","1,2",1,42,40,7
Jama u koletićevoj šumi,1,,1,"6,5",3,4
Jamošpilja iza Puplja,"2,5",5,1,26,17,9
Sistem Velika-Velika,5,4,1,135,71,48
Brkačina jama,"1,2","1,6",1,"10,5","6,5","7,5"
Vlaška plisuja,"0,5","0,5",1,"32,9","14,5","25,5"
Polušpilja kod Zale 2,6,2,1,6,6,0
Žmuj vina ,"0,5","0,5",1,83,22,72
Raskidana pećina,1,"2,5",1,50,50,10
Gvozdenka,4,1,1,,"53,5",0
Velika mačka,60,25,1,,152,277
Velika Birnjača,4,2,1,"45,1","20,6",35
Jama bez imena,2,"1,5",1,,25,26
Jama na Orbazovcu,"1,5",1,1,68,"49,5",35
Volovska jama,10,5,1,,127,129
Smećarka,"2,85",,1,,,11
Mala škuja kod Mirakula ,2,1,1,"14,5",4,"11,5"
Golubinka 2,"1,5",5,1,18,12,14
Puhaljka Bože Lugara,"0,5","0,7",1,,,
Jama Podjapaguša,"2,5","1,5",1,,52,108
Ledeni štrumf,13,9,1,"40,5","17,9","34,3"
Podrum,2,"1,5",1,,"7,5",0
Bubnjavača,6,"3,5",1,,40,2
Jama 7,"0,5","0,3",1,12,12,7
Frižider,2,4,1,22,13,17
Čisti trušanj,8,2,1,15,13,7
Jama u Ponikvama,14,6,1,38,22,21
Jama 091,30,10,1,,50,29
Jama pod Gradanom,1,"0,5",1,,14,17
Grota Sv. Filip i Jakov,9,5,1,49,46,16
Balvan žliba,6,9,1,,10,"22,8"
Domaćica,"2,3","0,8",1,"6,5","4,2","6,5"
Magareća jama,"4,5","1,5",1,,9,17
5 minuta,"0,6","0,7",1,11,8,5
Špilja lijeva,2,"0,8",1,41,41,0
Izvor špilja Sitnica,"1,8","0,5",1,63,62,0
Jama u Malim Sapcima 3  ,5,3,1,,5,10
Spilja kod podumolskog mlina,5,3,1,78,77,1
Sačekuša,"1,3","1,4",1,"5,4","4,5","2,9"
Nevjestina špilja,10,9,1,,48,0
Rudnica V,"1,5",4,1,45,41,5
Golubinka do Traverze kod uvale Južni Vavošćak,"3,5",4,1,"19,6","17,6",0
G39,"1,7",2,1,,4,6
Raskopana špilja,"0,8","0,3",1,"5,2","3,4",0
Jama na Stranama,"1,8",2,1,,16,10
Debeli krug,"0,6",4,1,7,7,0
Aragonka,2,"1,5",1,,260,21
Nebeska vrata,"1,4",2,1,"26,5","10,73","9,6"
Rupa za posadit pomidore,4,2,1,80,18,76
"II. Kaverna na gradilištu sportske dvorane, Zamet, Rijeka",3,"1,8",1,,5,7
Ponor na Ovčiju,1,"1,5",1,6,3,4
Jama Nove generacije,"0,8","1,8",1,"13,6","7,8","9,5"
Moje zlato,8,"3,5",1,72,25,60
Špilja kod Pekića,1,"0,5",1,14,11,9
Putek,"3,8","2,4",1,"270,4","84,9","180,4"
Jama SDK,"5,5","8,5",1,"45,4","2,9","42,5"
Garofuli,14,"3,5",1,149,123,33
Špilja kod Zagruda u Vinogradu,"2,1","0,7",1,"18,5","17,6","2,7"
Grčka špilja,,,1,,,
Izgrebana jama,"0,5",2,1,36,13,29
Kunina jama,"2,5","4,5",1,"28,3","17,3","10,2"
Nebeski svod,6,"2,5",1,50,40,"23,5"
Bubarinka,"0,5","0,4",1,"154,7","30,9",133
Ivanova pećinica,2,1,1,"9,8",9,"2,2"
Bošiš,8,6,1,20,12,11
Radiohead na Ćiru,4,2,1,10,10,0
Sv. Lucija 2,1,2,1,15,13,7
Franova jama,"3,5",4,1,14,"3,5","9,5"
EKG 05-783,15,7,1,"64,4","41,9","36,8"
Pratrovac špilja,6,"1,8",1,"65,6",58,0
Prva vilina,"11,4","6,5",1,16,12,0
Ekipaža,,,1,,,
Rakićka,"1,2","0,6",1,111,93,11
Jama iza škole u Lozovcu,"0,8","0,4",1,17,6,16
Kulušića oaza,"1,8","3,2",1,26,9,23
Kovačica,"1,5","1,5",1,"96,5","85,1","20,5"
Špilja na Gradini,"1,5",1,1,7,7,0
Kozja špilja,"21,8",12,1,24,22,4
Jelenova špilja,"0,5","0,5",1,,"5,5",5
Jama Bizdar 2,"0,9","0,5",1,20,8,18
Gašparova jama,6,6,1,125,15,108
Trošenjska špilja,11,3,1,27,"25,4",0
Jama pod Veli vrh,4,3,1,17,9,14
Mala špilja podno Velike kite,3,2,1,24,24,6
Mufn,4,3,1,31,16,"14,6"
Polušpilja u kanjonu Jadove,2,"1,8",1,,6,0
Glista,"7,6",5,1,,6,"15,5"
Špilja nad Gradelinama,6,4,1,5,5,0
Seka,2,1,1,47,4,46
Špilja kod kapije iznad Omble,"3,4","2,5",1,58,46,3
Buganćica,27,7,1,117,65,67
Valentića pećina,"1,7",1,1,"24,2","18,5",4
To je stara,2,6,1,"16,2","9,6","12,3"
Špilja kod Novkovića,"1,2","1,3",1,,"5,5","1,5"
Mala Plješina,14,5,1,40,30,23
Pećina na Velikom Humu,3,"2,5",1,,13,1
Pijekavica,8,4,1,29,12,18
Jama pod Zmajevim hrptom,2,10,1,"5,5",,32
Riobamba,1,"0,5",1,62,52,"12,5"
Pećina kod Korenskog,1,"0,5",1,14,12,5
Skočifiks,"13,3","6,5",1,"21,9","9,5","19,5"
Špila pod Križican,2,2,1,,"19,4","8,5"
Jama na Viloviku,1,1,1,8,4,"5,5"
Jama Dimbokača,"0,3","0,3",1,,5,27
Jama na Josinoj biljevini,5,3,1,,63,95
Dadina ašov jama,"0,5","0,5",1,"11,2","10,1","8,5"
Sedma veličanstvena,"0,5",1,1,281,135,120
Glavinjača,1,"1,2",1,19,10,"13,4"
Ambarac,10,15,1,,191,5
Golubnjača na Ljubovu,30,20,1,45,40,"24,4"
Medograd,2,"0,5",1,82,"37,5","54,5"
Trinaestica,2,2,1,16,4,13
Nova jama kraj puta,"0,9","0,7",1,16,8,7
Jama 13 A,2,"0,5",1,60,11,55
Ždrakunjača,110,"3,5",1,30,"26,2",16
Magdalenini mačići,"5,5","1,5",1,17,5,17
Špilja na rtu Veliki Tradanj 2,2,"1,5",1,,13,0
Patuljkova jama,"1,5","0,5",1,"27,5","18,2","13,8"
Golubnjača u Koljanima,4,4,1,100,55,68
Kolarica,2,4,1,22,14,"11,5"
Bivša ledenica kod Stražbenice ,4,5,1,61,41,"37,5"
Vražje ždrijelo,1,"1,5",1,"35,4","13,3","31,5"
Urbana jama,"0,8",0,1,16,3,8
Mastirina,1,2,1,,33,18
Kanjonjača,5,3,1,"21,9",12,17
Branisavljevića pećinica,"2,8","3,5",1,,7,"3,5"
Jama Floky,"1,2","2,8",1,,5,8
Mokre noge,4,7,1,1563,720,831
Dadića pećina,3,"1,2",1,6,"5,5","0,5"
Paklenička luknja,"0,6","0,9",1,"24,5",6,18
Špilja na plaži u Metajni,7,4,1,"12,5",12,2
Jama na malome vrvu,1,"0,5",1,"17,1","5,5","13,5"
Rušića jama,5,4,1,,16,15
Bombadil,5,"2,5",1,29,11,24
Špilja kod Juraševe livade,1,1,1,40,39,0
Ledeni brlog na Snježniku,2,"1,7",1,12,9,4
Bajina jama,"0,6","0,4",1,24,19,"10,5"
Jama Pučić,"0,8",1,1,66,9,57
Jagodnjak,2,5,1,46,35,32
Krmarica,2,5,1,25,"10,5",25
Špilja kod pojate,"0,6","0,8",1,9,4,4
Mala jama,1,1,1,10,3,7
Otkopana,2,"2,5",1,"7,7","3,9","6,6"
Cener,"2,5","0,8",1,,"11,6","8,3"
Jama pod Boljunskim dolom,,,1,,,
Mrtvi Č,3,3,1,14,12,4
Kuja mala,"8,3","11,6",1,"37,5",21,"27,6"
Jama u Demišjoj ogradi,11,4,1,,17,"12,1"
Edison 2,"1,5",1,1,12,3,12
Velika špilja,8,3,1,,24,2
Lugareva jama,"1,8","1,6",1,144,58,107
Marganuša,2,"1,5",1,244,92,157
Kimchi,"0,5","0,3",1,18,5,13
Duliba,"1,2","0,4",1,749,712,19
Stara Đina,"3,5",21,1,"77,2","18,4","71,9"
Rupa nije mala,14,3,1,,72,68
Vodena trepetljika,,,1,,,
Bukvin zapetljaj,4,2,1,18,11,13
Jama pod Kaleškim čelom ,"0,8","0,6",1,"8,5",8,"4,5"
Špilja pod Velikim tornjem ,4,"2,2",1,,9,0
G8,8,16,1,,16,24
Golubnjača u Dubravi,5,6,1,86,64,39
Ve-de četrdeset,"1,7","0,8",1,31,17,20
Gin,14,8,1,31,14,25
Barinova jama,12,5,1,,61,55
Banzek jama,2,6,1,,12,42
Trogrlo špilja,8,"4,5",1,,23,12
Biskup špilja,"1,5","2,2",1,,15,8
Gljivarka,2,3,1,,7,13
Špilja u Špejarovim lugovima 2,"1,6","4,3",1,11,10,"4,5"
PX 7,3,3,1,,38,35
Snižnica u Dulibici,40,55,1,,"88,9","39,3"
Blekuša,1,2,1,30,26,15
Kakmanka,"4,4","8,4",1,"56,7","49,5","18,7"
Špilja jedna kuna,2,2,1,"19,7",17,"9,5"
Pećina kod vrha Travnik,6,2,1,170,156,24
Varićakova špilja,"3,4","1,6",1,,0,0
Špilja pod Kaštel,,,1,,,
Vodena majka H2O,4,"3,5",1,,84,0
Vukomanova pećina ,3,4,1,91,87,"13,7"
Milo Hrnić,,,1,,,
Jama u Štajbenovcu,"0,4","0,6",1,27,"5,6",23
Jezero,,,1,,,
Frizer jama,20,8,1,,24,34
Pećina Izvor Čikole,13,8,1,36,35,8
Kumova duplonka,12,15,1,,13,35
Špilja prije Studenca,"2,5","1,8",1,,"16,5",0
Zgubidanka,9,5,1,23,5,19
Traverza kod uvale Južni Vavošćak,"1,5",4,1,"8,8","6,5","5,8"
Jama na Bertiji 1,,,1,,,
Kod vode,4,"1,5",1,21,10,14
Lisičja špilja,,,1,,,
Pećina na Novskom Ždrilu,5,3,1,132,132,3
Frape,"17,5","22,5",1,,60,50
BZVZ,3,6,1,14,11,7
Lijepa jama,"3,5","1,5",1,,15,7
Mačja pećica,"0,8","0,8",1,,16,"3,5"
Špilja u Koritima,"0,5","0,5",1,,13,"9,5"
Zarušenica,1,"1,5",1,14,11,9
Golubinka na Poljanicama,4,7,1,"35,2","25,2","19,5"
Golubinka,16,4,1,,62,55
Cikavica,10,5,1,63,32,46
Šatarina,3,"0,8",1,"21,9","21,6","3,5"
Mala spila,"0,5","0,5",1,,45,14
Špilja Mali brlog,"0,8","1,2",1,7,"6,9","0,5"
Jama Velika Golubinka,"2,5","6,5",1,102,45,60
Frodo,"0,9","1,8",1,8,2,8
Polušpilja kod Sobre,,,1,,,
Zlata jama,"0,4","0,6",1,28,17,13
Špilja sa zidom na Liveru,7,7,1,14,14,0
Grgina špilja,3,2,1,"7,2",7,0
Smrdulja,"0,7","1,5",1,,8,13
Pećina u Kasunima,6,"1,8",1,45,37,0
Jama u Gomilicama,"0,5","0,5",1,20,7,13
Matijaševa peć,3,1,1,18,17,6
Peć u Čulinovim raljevinama,1,1,1,,"42,5","12,5"
Mahovnjača,1,"1,3",1,19,9,15
Šarića jama,"0,4","0,7",1,,33,14
Pećina na Velikom Majoru,"2,5",1,1,13,"11,5","2,7"
Grabrovica kod Dvori,4,4,1,,54,62
Špilja iznad Špilje iznad crkvice Gospe od Luga,3,"2,5",1,80,72,24
Juraševa pećina,20,6,1,36,19,1
Rabatinka,20,25,1,126,114,48
Bukva ne voli ljuto,3,7,1,98,"24,5",75
Ponor u Smokovljanima ,"0,7",1,1,24,16,16
Sindikalna jama,6,3,1,,117,137
Konavoske majice,"0,6",1,1,42,"13,4","31,4"
Špilja kod Orašačkog mola 4,"17,5","7,5",1,,18,0
Špilja kod bukera u Štinjanu,"2,5","2,5",2,23,22,0
Jakusi,5,2,1,34,22,14
Pješčana ura,25,10,1,155,20,"138,5"
Hajdučka kuća,"2,5","2,7",1,,9,0
Sklonište sa sušilicom,4,9,1,25,25,0
Novačka pećina,17,36,1,430,405,84
Markova lipotica,1,"1,8",1,35,28,11
Poljanak jama,2,"2,5",1,23,17,14
Duboka peć,5,4,1,62,60,3
Izvor Bijeli Vir,,,1,,,
Velika pećina ispod Matasa,26,10,1,10,10,0
Jama u Glavi,"0,5","0,5",1,16,6,"14,5"
Nova velika jama,"0,75","1,5",1,,253,361
Šimin Samograd,6,4,1,55,48,22
Škabac,,,1,,,
Usput,"5,2","1,8",1,,"4,5","9,3"
Ponor Crnog vrela,2,"1,5",1,672,412,143
Kruglica,"0,5",1,1,8,3,7
Njivice špilja,"1,6","0,8",1,28,24,4
Mali Rumin,5,2,1,199,189,14
1A-2,8,"9,5",1,"63,5",34,33
Jama u Kravljačici,4,3,1,45,27,32
Pećina u selu Puži,,,1,,,
Jama na Komu,15,10,1,105,36,"95,5"
Bratska jama,"4,2","4,8",1,35,"26,7","15,5"
Jama kod ušća Plitvice,"7,9","17,5",1,"56,1","26,6",35
Bunar jama ispod puta,"0,6","0,4",1,,4,11
Jama Špija,15,15,1,211,94,99
DG6,1,1,1,7,7,0
Katakomba,"0,5","0,5",1,"6,5","3,5",5
Blatna špajza,"0,9","0,6",1,"8,5",3,8
Špilja-izvor Klarino,"0,75","0,75",1,195,192,1
Oštrinova jama,3,6,1,,167,"49,5"
Stankova špilja,2,"1,5",1,,16,0
DZN1,2,"1,5",1,13,12,2
Jama na Kosici 1,4,2,1,40,9,36
Pasji manastir,,,1,,,
Ričard Gir,1,"0,6",1,40,"10,7",36
Šimrakovica gornja,"2,5","4,8",1,"45,7","30,5","19,7"
Mladenova jama,7,3,1,338,154,235
Goranska klepa,4,4,1,,17,14
Seksi lađarac,"4,7","1,9",1,"60,5",23,47
Brkina pećina,,,1,,,
Bujarići,5,13,2,30,23,47
Mojsijeva jama,15,3,1,,40,65
Mali Borušnjak 6,,,1,,,
Uska dama,2,"2,4",1,5,4,4
Tamanica,2,3,1,20,9,16
Umjetna noga,"1,5",2,1,30,12,18
Laži špilja,1,"0,6",1,17,"17,5","12,5"
Olimp II,4,14,1,,18,16
Jama na Glavici,"1,2","0,7",1,,5,15
Jama u Čapljini,2,"2,8",1,"23,2",18,"17,2"
Jama Bliznica 1,4,5,1,,8,19
Slučajna špilja,"2,7","3,3",1,9,8,0
Kaverna u tunelu Obrovac,,,1,,,
Show jama,1,2,1,,19,17
Livodina ,3,2,1,16,11,8
Jama u čelu,"1,8","0,5",1,,24,"12,5"
Pusti me proć,"1,2",3,1,11,11,2
Mandina jama,"1,7",1,1,,21,22
Drekavčeva jama,"1,5",2,1,,4,52
Špilja smokvinog lista ,3,"2,5",1,10,10,0
Maglovova pećina,3,1,1,18,18,2
Debela griža II,"0,5","0,7",1,12,8,7
Butori,"2,5","4,5",1,579,424,223
Jama Micika,"0,5","0,5",1,4,,11
Đukina jama,1,1,1,,160,74
Jama s podrškom,"2,7","0,5",1,8,2,"7,5"
Veliki Gubavci,4,"0,8",1,63,21,45
Trešnjica,5,3,1,,23,8
Jamurka u Jasenicama,,,1,37,37,"30,5"
Jama ispod Donje Cerovačke,"1,5",3,1,"33,8","24,9","15,3"
Jama iznad Špraljin stana,1,"0,6",1,15,4,14
Odisejeva špilja,45,25,1,,92,42
Šelobin brlog,7,3,1,51,22,25
SUE 5!,5,2,1,45,35,18
Prvača,17,5,1,136,127,28
Jama Rastovača,3,3,1,,13,"33,8"
Strguljin grad X2,3,2,1,,8,14
Jama u kamenolomu kod Lakovići,"0,4","1,5",1,18,3,"17,5"
Bijelo jezero,2,"1,5",1,21,21,1
Zlatni zalaz,"1,4","0,8",1,"29,4",28,6
SOV 35,10,12,1,29,14,24
Staje 2,,,1,,,
Velika špilja kod Goranca,9,"3,5",1,,"51,5","9,5"
Mala jama kraj Golubinke u gaju,"1,5",2,1,23,14,8
Stotrizsedma,"1,5","6,7",1,"10,7","6,3","5,2"
Tobogan,4,"4,5",1,10,8,8
Špilja pod Matasovom kulom,"2,2","2,2",1,10,10,0
Špiljuga,5,2,1,40,36,12
Tražena jama na Raduču,"1,1","0,7",1,9,4,9
Riđa propast,"0,5",1,1,"51,7","36,3","35,9"
Podnjive,5,8,1,70,39,56
Jama prema Zijači 1,4,2,1,8,5,7
Debela griža II,"0,5","0,7",1,12,8,7
Topnička jama,,,1,,,
Špilja na Vršinoj glavici,"2,6",5,1,,20,"8,4"
Rudnici Zrinski,,,1,,,
Šimrakovica srednja,2,6,1,"16,5","4,5",12
Đokina jama 1,2,"1,5",1,,25,22
Pršutova jama,3,2,1,,8,33
Jama sa smećem,4,"1,2",1,9,9,8
Jama u Kućinama,3,"1,8",1,,22,"11,5"
Ponor Pratrovac,,,1,,,
Bezdanka iznad Lalića,5,490,1,29,22,14
Jama pod Kalm,4,3,1,"9,4","5,5","7,4"
Dželalijina špilja na Mejašu,2,"1,8",1,41,37,17
Šabac,"0,6","1,5",1,,7,19
Jama u kanjonu Dobre ispod Grabrka,1,"2,5",1,615,545,31
Borka,2,4,1,52,"19,3","38,4"
Jama Kosturnica,12,3,1,,13,25
Špilja pod Stogajem,"1,1","1,2",1,6,6,0
Srbani,5,"1,3",1,62,61,4
Porođajna,3,"3,5",1,33,11,22
Brunina špilja,2,1,1,,7,0
Đermenovac 1,10,11,2,"40,5","28,3","27,3"
Dvadeset i četvrti tjedan,10,6,1,58,35,31
Pećinik,1,"0,5",1,,305,13
Jama 99,,,1,,,
Velebita,"0,5",2,1,3346,1320,1026
Peta špilja,1,"0,4",1,"7,5","3,9","3,9"
Golubinka 2,2,"1,2",1,,3,"5,7"
Kosturnica na Pobojištu,4,3,1,25,23,8
Brezdan u Strnju,2,1,1,"42,1",16,32
Ponor pod Točkom Perjasičkim,"2,8",4,1,83,77,7
B14,10,20,1,55,"16,5","52,3"
Rildo,"0,5",1,1,20,19,2
Kozarevice 2,1,"0,7",1,"71,8",23,24
Pavlova špilja,"4,5","3,5",1,,"8,5",0
Jama na vrh Krčevina,1,1,1,,33,21
Pećina Boršt,"2,8","2,3",1,"15,5",15,"3,5"
Kozja peć,7,3,1,128,103,22
Špilja u Žarmi,3,3,1,28,22,"9,5"
Sitvukova pećina,"0,7",1,1,"217,6",210,24
Pazinska jama ,45,33,1,287,270,21
Jami Tomi,"3,5","3,5",1,15,6,11
Škarin Samograd,4,"1,6",1,,77,18
Desanka,"9,08","4,77",1,,"17,3","16,6"
Mastinka,1,"1,5",1,"6,1","4,3",0
Jama na Jasenovom brdu,3,"3,5",1,,27,55
Martića pećina,"1,5",1,1,21,20,8
Ogledalce,"0,7","0,3",1,10,"3,5",9
Špilja nasuprot Okrugle,5,"1,5",1,18,18,0
Klementina III,,,1,,,
Komarkovka,2,3,1,14,4,13
Mačja glava,5,4,1,50,21,35
Jama u Debelom bregu,4,4,1,,18,26
Zlatkova,"0,85","0,55",1,13,12,1
Sova špilja,2,1,1,9,8,4
Špilja na Mrždolcu,,,1,,,
Ledenica u Šugarskoj dulibi,25,15,1,,25,38
Djedak,1,"1,5",1,"6,1","5,8",0
Jarebinka,"0,5","0,8",1,86,77,21
Brinski dimnjak,"1,6","0,9",1,11,4,1
Danilova pećina ,5,3,1,,66,7
Potkornjak mali,"2,5",4,1,"10,4","6,4","8,2"
Povuci potegni,"0,6","0,5",1,7,"6,5",2
Pećina Violica ,"2,5","3,5",1,,5,0
Djetlić,3,"0,5",1,23,6,19
Mamulina pećina,7,"4,5",1,"132,5",120,4
Jurinsko,13,6,1,16,16,0
Infarkt,10,10,1,22,"12,2","13,5"
Ograđena špilja pod Sv. Jurom,,,1,,,
Pećina pod Kobiljak,2,"1,5",1,,6,5
Vuco 2,"4,7","3,5",1,,"10,4",30
Pećina ispod Kamenoloma u selu Podoštra,2,4,1,167,"165,5","1,5"
Skoro jama,4,2,1,8,8,"6,5"
Škuljica,,,1,,,
Bižotova buža,5,5,1,10,10,0
Špilja u Klanačkom polju,2,"1,5",1,12,11,0
JNA špilja ,"0,7","2,5",1,,7,"1,5"
Duman 1,1,"0,8",1,"45,9","27,1","32,7"
Nulti kontakt,25,25,1,293,"201,5",61
Šifnerova jama,2,2,1,,9,"25,5"
Zvonica,"2,2","4,5",1,12,12,0
LS1,2,"2,5",1,9,4,7
Velika pod vidikovcem,3,2,1,"9,8","2,2","7,6"
Uska jama,"0,8","0,5",1,8,2,8
Spilja za žicom,"0,5","0,6",1,9,6,4
Jankonka,3,6,1,324,274,42
Špilja kod Sv. Vitala,3,2,1,"5,5","5,5",0
Sumoborci-krumpiraši,20,2,1,,25,57
Lijeva jama kod Poljanka,"1,5","4,4",1,"24,2","10,2",19
Crekvica 1,"7,1","1,4",1,,"30,7",6
Tabinja pod morem,2,6,1,6,6,0
Pećina pod Križišće,4,2,1,32,23,"13,5"
Oprosti svijete,5,3,1,"26,8",5,"21,8"
Kotarčeva jama,7,"3,5",1,18,9,16
Konjska čarapa,3,5,1,45,15,"29,5"
Jama kod Poljane,1,"1,3",1,,4,13
Pometena Golubinka,10,6,1,152,"107,5",36
Jaguštinova jama,1,"1,5",1,37,24,"15,5"
Lijepa izdaleka,9,6,1,"29,4",14,"24,4"
Paredine 1,"3,2",6,1,13,11,9
Špilja na Maljević brijegu,3,"1,1",1,12,9,5
Čepić tunel,,,1,,,
Asanova pećina,6,2,1,,"20,5",0
Jama prolivenog laka,6,4,1,17,7,15
Krivića pećina,1,,1,155,143,31
Kokmoč ponor,"2,5",3,1,,82,25
Jama pod Crvenom pećinom,"1,5","1,2",1,22,15,17
Mala špilja nad izvorom Litno,2,1,1,6,6,0
Staje 6,,,1,,,
Klementina 5,4,2,1,,508,180
Markarova špilja,7,3,1,152,141,43
Biljan dolac,"1,5",1,1,,"23,5","36,6"
Jazavčarka,"1,2",2,1,"6,5",6,2
Lunch with seitan,"0,7",,1,"6,4","5,1","3,9"
Nevakuša špilja,5,13,1,43,36,14
Jarač na ponti od Graca,14,6,1,,72,28
S-4,5,3,1,13,10,7
Vidovića špilja,1,1,1,,205,10
Proslap,"1,2","1,2",1,10,10,3
Drvljenička,"1,5","2,5",1,"16,8","5,2",14
Inžinjerka,1,"0,5",1,29,20,"2,7"
Črni Knež Uruk-Hai,10,10,1,,58,51
Ponor u Sikiricama,"1,7",1,1,,"27,2","20,5"
Hero,3,3,1,"36,2","4,3",31
Pred oluju,3,3,1,15,4,13
Slatka tajna,10,5,1,116,40,116
Jama broj 4,2,1,1,8,7,6
Jama pod Trovrhom,7,12,1,26,"9,5",23
Ovčja peć,"5,5","3,5",1,,43,3
Špilja pod Krnjacolom,2,"2,3",1,"10,1","9,5",0
Špilja u Dražici,"3,4","1,4",1,17,15,5
Spilja Izvor pod pećinom,6,2,1,157,155,0
Mokra pećina,9,2,1,,34,0
Brutal,9,3,1,131,71,87
Filipova jama,4,"1,7",1,"60,8","22,2",52
Babačanka,4,6,1,,73,97
Jama Bizdar 1,"1,2","0,5",1,,"4,6",5
Medvidina špilja,12,20,1,,155,9
Špilja pod Glogovcem,"1,5",1,1,,14,5
Špilja pod Tukom,2,1,1,,68,5
Jama u Držetinoj vali,10,11,1,25,12,19
Spila 1,3,"1,8",1,30,27,"10,5"
Sklepova peć,3,"3,3",1,,18,8
Pećina u Srdašcu,15,5,1,21,21,5
Barina jama,,,1,"61,5",32,48
Jama u Priroju,"2,5",5,1,145,"46,5",124
Pećina pod laz,5,1,1,53,"47,5",10
Petojama,4,"1,6",1,54,41,17
Jama pod Crnim vrhom 1,1,"1,5",1,10,"6,5",8
Pećina pod Kuk,1,"0,5",1,,13,9
Špilja na vrhu,3,3,1,17,17,0
Goca prca boca,5,2,1,,15,35
Mini golf - Strguljin grad 4,12,2,1,,13,13
Jama na prvi dojam,"0,5",2,1,"19,6","12,8","13,2"
Piškera,"0,5",1,1,"12,5","2,5",10
Protupožarka,"0,5","0,5",1,"8,7",8,"3,5"
Jama u Steljnici 1,6,"2,5",1,,58,21
Mikića jama,2,2,1,261,227,28
Petnje,"0,5","0,5",1,10,,2
Ozaljska špilja,2,"1,8",1,,129,7
Duboka Ljuta,,,1,,,
Jama Pan 1,3,"0,7",1,,4,21
Jama stare komisije,10,7,1,"209,8","56,8","162,8"
Majmoneza,1,8,1,41,"26,1","11,1"
Špilja u potoku,"0,5",1,1,"6,2","5,8","3,6"
FN 5,"2,5",2,1,7,7,1
Špilja Nož,2,3,1,"6,5","5,6","1,8"
Izvor Kupe,57,42,1,,70,154
Stara škola,,,1,,,
Medina kupelj,"4,3","2,8",1,"20,8","18,7","6,5"
Izvor Stinjevac,"1,8",1,1,"12,5","10,5","7,5"
Jama na Kaline,1,"0,4",1,,4,31
Kaverna s vodom u tunelu Blatsko polje - Bristva,2,1,1,,,
Svinjska peć,12,12,1,,45,12
Golubnjača,14,14,2,245,206,0
Mistique,1,"0,5",1,29,12,24
Kaverna na stacionaži 1+415 Velika,1,2,1,"74,4","41,5","51,5"
Delička,"0,6","0,3",1,7,"2,3","5,1"
Vulešnica,"1,5","1,5",1,40,36,4
Sovina jama na malom Vitreniku,4,2,1,23,9,"19,5"
Zobinovica,"6,6","5,7",1,"22,3","13,7","6,2"
Pećine ispod Vranjaka,,,1,,,
Pećina Loza,6,4,1,77,47,20
Pećina prije uvale Oštarije,3,"4,5",1,11,11,0
Ponor,1,1,1,7,3,7
Markova špilja,"4,5",11,1,,"36,3","9,1"
Ponorac,"16,3","5,32",1,2834,2822,4
Di ste miševi,4,9,1,72,"14,2",67
Izvor Mala pećina,3,"1,3",1,40,40,0
Bajićeva špilja 5,"0,7",1,1,,"32,5","3,5"
Špilja na Oštroj glavici,"0,5",1,1,,"15,5","2,6"
Špiljski sustav Miljacka I - Miljacka V,6,3,1,2707,2621,57
Jama na Jančariji ,"1,5","0,8",1,,6,6
Snježna jama,15,5,1,25,21,11
Pištolin golić 1,"5,5",3,1,8,"12,5",7
